occupancy_rate_at_booking,days_until_event,days_since_created,base_price,rule_based_multiplier,historical_adjustment,final_multiplier,purchase_price
0.45,43,76,1000,1.15,0.055,1.2,1200.0
0.16,42,35,1000,0.9,-0.043,0.86,860.0
0.93,1,86,1000,1.84,-0.04,1.8,1800.0
0.12,50,59,1000,0.86,-0.065,0.8,800.0
0.76,46,1,1000,1.41,0.013,1.42,1420.0
0.61,12,75,1000,1.31,0.116,1.43,1430.0
0.36,13,90,1000,1.1,0.083,1.18,1180.0
0.65,31,13,1000,1.32,0.092,1.41,1410.0
0.36,28,61,1000,1.08,-0.024,1.05,1050.0
0.33,15,35,1000,1.07,0.003,1.07,1070.0
0.37,53,5,1000,1.08,-0.052,1.02,1020.0
0.12,30,23,1000,0.87,0.086,0.96,960.0
0.11,56,64,1000,0.85,0.065,0.92,920.0
0.37,10,19,1000,1.12,0.084,1.2,1200.0
0.74,41,44,1000,1.39,0.084,1.48,1480.0
0.12,34,66,1000,0.87,0.054,0.92,920.0
0.85,53,76,1000,1.48,-0.063,1.42,1420.0
0.83,53,88,1000,1.47,-0.015,1.45,1450.0
0.55,8,63,1000,1.28,0.059,1.34,1340.0
0.71,16,34,1000,1.39,0.03,1.42,1420.0
0.9,19,11,1000,1.55,0.054,1.6,1600.0
0.49,19,24,1000,1.2,-0.026,1.17,1170.0
0.93,16,22,1000,1.58,0.02,1.6,1600.0
0.51,1,59,1000,1.48,0.113,1.6,1600.0
0.3,20,24,1000,1.03,0.07,1.1,1100.0
0.66,6,46,1000,1.4,0.016,1.41,1410.0
0.17,33,80,1000,0.91,-0.014,0.9,900.0
0.58,28,18,1000,1.26,-0.063,1.2,1200.0
0.05,39,32,1000,0.81,-0.016,0.79,790.0
0.77,34,34,1000,1.42,0.027,1.45,1450.0
0.33,26,24,1000,1.05,-0.046,1.01,1010.0
0.98,28,45,1000,1.6,-0.003,1.6,1600.0
0.9,4,84,1000,1.64,0.066,1.7,1700.0
0.47,16,7,1000,1.18,-0.064,1.12,1120.0
0.23,59,85,1000,0.96,-0.058,0.9,900.0
0.5,53,37,1000,1.19,0.017,1.2,1200.0
0.5,50,28,1000,1.19,0.047,1.23,1230.0
0.87,55,26,1000,1.5,-0.006,1.49,1490.0
0.15,44,11,1000,0.89,-0.059,0.83,830.0
0.24,28,50,1000,0.97,-0.011,0.96,960.0
0.4,36,58,1000,1.11,-0.05,1.06,1060.0
0.85,5,59,1000,1.57,-0.07,1.5,1500.0
0.65,43,6,1000,1.32,0.019,1.34,1340.0
0.88,11,75,1000,1.55,0.066,1.61,1610.0
0.31,9,41,1000,1.07,0.084,1.16,1160.0
0.78,15,58,1000,1.45,0.007,1.46,1460.0
0.86,14,22,1000,1.52,0.002,1.52,1520.0
0.89,27,65,1000,1.53,0.052,1.58,1580.0
0.96,27,26,1000,1.59,-0.029,1.56,1560.0
0.08,16,51,1000,0.85,0.042,0.89,890.0
0.17,57,70,1000,0.9,-0.064,0.84,840.0
0.56,1,88,1000,1.53,-0.052,1.47,1470.0
0.86,43,65,1000,1.49,0.095,1.59,1590.0
0.26,2,65,1000,1.17,0.086,1.26,1260.0
0.8,58,55,1000,1.44,0.052,1.49,1490.0
0.29,8,89,1000,1.06,0.047,1.11,1110.0
0.36,23,51,1000,1.08,0.114,1.2,1200.0
0.97,38,20,1000,1.59,-0.002,1.59,1590.0
0.34,56,30,1000,1.05,-0.004,1.05,1050.0
0.64,15,27,1000,1.33,0.104,1.44,1440.0
0.09,10,2,1000,0.88,0.043,0.92,920.0
0.52,5,61,1000,1.29,0.014,1.31,1310.0
0.54,17,30,1000,1.24,-0.018,1.22,1220.0
0.23,22,64,1000,0.97,-0.067,0.9,900.0
0.45,48,82,1000,1.14,0.051,1.2,1200.0
0.81,9,62,1000,1.5,0.083,1.58,1580.0
0.38,45,87,1000,1.09,-0.059,1.03,1030.0
0.54,23,71,1000,1.23,0.065,1.3,1300.0
0.84,35,24,1000,1.48,-0.023,1.46,1460.0
0.8,43,58,1000,1.44,0.048,1.49,1490.0
0.15,42,53,1000,0.89,-0.025,0.87,870.0
0.54,4,83,1000,1.33,0.076,1.41,1410.0
0.95,16,74,1000,1.59,0.078,1.67,1670.0
0.78,6,17,1000,1.5,0.094,1.59,1590.0
0.98,26,12,1000,1.61,0.004,1.61,1610.0
0.83,43,7,1000,1.47,-0.018,1.45,1450.0
0.65,15,67,1000,1.34,0.026,1.37,1370.0
0.24,38,71,1000,0.97,-0.062,0.91,910.0
0.19,19,17,1000,0.94,-0.041,0.9,900.0
0.56,50,38,1000,1.24,0.041,1.28,1280.0
0.51,15,11,1000,1.22,-0.03,1.19,1190.0
0.27,59,34,1000,0.99,0.092,1.08,1080.0
0.56,46,56,1000,1.24,-0.001,1.24,1240.0
0.63,55,87,1000,1.3,0.046,1.34,1340.0
0.5,53,40,1000,1.19,0.12,1.31,1310.0
0.96,50,26,1000,1.58,0.033,1.61,1610.0
0.46,31,42,1000,1.16,0.109,1.27,1270.0
0.69,21,70,1000,1.36,-0.044,1.32,1320.0
0.45,46,42,1000,1.15,0.027,1.17,1170.0
0.4,48,18,1000,1.1,-0.001,1.1,1100.0
0.99,53,53,1000,1.6,-0.046,1.56,1560.0
0.08,20,59,1000,0.85,0.07,0.92,920.0
0.99,40,26,1000,1.61,-0.037,1.57,1570.0
0.08,30,85,1000,0.84,0.048,0.89,890.0
0.21,31,32,1000,0.95,0.028,0.98,980.0
0.45,22,11,1000,1.16,0.11,1.27,1270.0
0.58,29,48,1000,1.26,-0.019,1.24,1240.0
0.06,7,50,1000,0.88,0.029,0.91,910.0
0.25,52,33,1000,0.97,0.033,1.01,1010.0
0.19,5,7,1000,1.01,-0.02,0.99,990.0
0.15,6,17,1000,0.96,0.019,0.98,980.0
0.31,58,67,1000,1.02,-0.042,0.98,980.0
0.54,1,66,1000,1.51,0.079,1.59,1590.0
0.27,18,66,1000,1.01,0.111,1.12,1120.0
0.56,57,83,1000,1.24,-0.073,1.16,1160.0
0.47,53,21,1000,1.16,0.064,1.22,1220.0
0.19,30,21,1000,0.93,-0.049,0.88,880.0
0.2,51,39,1000,0.93,-0.029,0.9,900.0
0.14,42,16,1000,0.88,0.057,0.94,940.0
0.29,6,71,1000,1.08,0.114,1.2,1200.0
0.71,52,43,1000,1.36,-0.048,1.32,1320.0
0.76,2,58,1000,1.6,0.035,1.63,1630.0
0.26,45,85,1000,0.98,0.015,1.0,1000.0
0.43,58,81,1000,1.13,-0.027,1.1,1100.0
0.22,4,66,1000,1.06,0.075,1.13,1130.0
0.8,57,52,1000,1.44,-0.077,1.36,1360.0
0.76,3,9,1000,1.55,-0.069,1.48,1480.0
0.27,16,49,1000,1.01,-0.042,0.97,970.0
0.09,41,58,1000,0.84,-0.023,0.82,820.0
0.89,37,52,1000,1.52,0.092,1.61,1610.0
0.38,31,9,1000,1.09,-0.062,1.03,1030.0
0.43,29,89,1000,1.14,0.065,1.2,1200.0
0.43,25,8,1000,1.14,0.027,1.17,1170.0
0.41,41,31,1000,1.11,0.017,1.13,1130.0
0.46,50,26,1000,1.15,0.007,1.16,1160.0
0.63,59,31,1000,1.3,0.049,1.34,1340.0
0.18,13,48,1000,0.95,0.041,0.99,990.0
0.72,27,65,1000,1.38,0.003,1.39,1390.0
0.4,13,6,1000,1.13,0.03,1.16,1160.0
0.51,28,35,1000,1.2,0.094,1.3,1300.0
0.77,40,22,1000,1.42,0.103,1.52,1520.0
0.4,20,15,1000,1.12,-0.049,1.07,1070.0
0.5,48,45,1000,1.19,-0.047,1.14,1140.0
0.37,58,26,1000,1.07,0.117,1.19,1190.0
0.26,4,44,1000,1.09,0.086,1.18,1180.0
0.35,39,72,1000,1.06,-0.038,1.02,1020.0
0.55,24,63,1000,1.24,-0.042,1.2,1200.0
0.49,22,48,1000,1.19,0.005,1.2,1200.0
0.55,21,69,1000,1.24,-0.077,1.17,1170.0
0.82,6,82,1000,1.53,0.025,1.56,1560.0
0.57,54,9,1000,1.25,0.047,1.29,1290.0
0.36,4,49,1000,1.18,0.091,1.27,1270.0
0.71,2,27,1000,1.55,0.027,1.58,1580.0
0.74,37,61,1000,1.39,0.017,1.41,1410.0
0.36,11,89,1000,1.11,-0.048,1.06,1060.0
0.24,55,36,1000,0.96,0.017,0.98,980.0
0.3,38,12,1000,1.02,-0.011,1.01,1010.0
0.96,32,59,1000,1.58,-0.059,1.53,1530.0
0.64,35,15,1000,1.31,0.003,1.31,1310.0
0.18,42,19,1000,0.92,-0.035,0.88,880.0
0.57,50,32,1000,1.25,0.116,1.36,1360.0
0.29,0,46,1000,1.6,0.093,1.69,1690.0
0.99,18,71,1000,1.62,0.033,1.66,1660.0
0.14,41,18,1000,0.88,0.045,0.93,930.0
0.37,54,5,1000,1.08,-0.006,1.07,1070.0
0.68,12,17,1000,1.37,0.048,1.42,1420.0
0.88,50,36,1000,1.51,0.102,1.61,1610.0
0.11,0,77,1000,1.44,-0.059,1.38,1380.0
0.33,58,2,1000,1.04,-0.071,0.97,970.0
0.75,34,31,1000,1.4,-0.017,1.39,1390.0
0.27,18,63,1000,1.01,0.039,1.05,1050.0
0.45,19,90,1000,1.16,0.072,1.23,1230.0
0.7,18,63,1000,1.38,-0.029,1.35,1350.0
0.4,13,50,1000,1.13,0.046,1.18,1180.0
0.09,38,17,1000,0.84,0.112,0.95,950.0
0.65,17,8,1000,1.34,-0.008,1.33,1330.0
0.17,24,81,1000,0.92,0.001,0.92,920.0
0.83,36,53,1000,1.47,0.011,1.48,1480.0
0.65,41,37,1000,1.32,0.021,1.34,1340.0
0.86,17,87,1000,1.51,-0.078,1.44,1440.0
0.56,5,55,1000,1.33,0.063,1.39,1390.0
0.16,49,75,1000,0.9,0.031,0.93,930.0
0.84,28,54,1000,1.48,0.088,1.57,1570.0
0.13,46,80,1000,0.87,-0.006,0.87,870.0
0.12,45,53,1000,0.87,0.055,0.92,920.0
0.21,58,21,1000,0.94,0.088,1.03,1030.0
0.82,6,9,1000,1.53,-0.019,1.51,1510.0
0.21,9,51,1000,0.99,0.002,0.99,990.0
0.74,33,35,1000,1.4,0.076,1.47,1470.0
0.35,23,26,1000,1.07,-0.031,1.04,1040.0
0.06,47,88,1000,0.81,-0.078,0.74,740.0
0.39,47,51,1000,1.09,0.104,1.2,1200.0
0.58,60,37,1000,1.25,0.09,1.34,1340.0
0.92,25,15,1000,1.56,-0.03,1.52,1520.0
0.06,21,29,1000,0.83,0.02,0.85,850.0
0.95,49,27,1000,1.57,0.111,1.68,1680.0
0.63,14,64,1000,1.33,0.039,1.36,1360.0
0.22,25,22,1000,0.96,0.033,0.99,990.0
0.62,8,74,1000,1.34,-0.006,1.34,1340.0
0.3,32,15,1000,1.02,0.061,1.08,1080.0
0.88,51,19,1000,1.51,0.053,1.56,1560.0
0.63,17,64,1000,1.32,0.095,1.41,1410.0
0.1,7,37,1000,0.91,0.077,0.99,990.0
0.37,22,26,1000,1.09,0.086,1.18,1180.0
0.8,37,3,1000,1.45,0.016,1.46,1460.0
0.94,39,13,1000,1.56,0.024,1.59,1590.0
0.58,1,38,1000,1.54,0.048,1.59,1590.0
0.97,29,31,1000,1.59,0.084,1.68,1680.0
0.2,26,48,1000,0.94,0.028,0.97,970.0
0.84,47,50,1000,1.48,-0.022,1.45,1450.0
0.61,53,48,1000,1.28,0.093,1.37,1370.0
0.5,31,57,1000,1.19,-0.023,1.17,1170.0
0.24,39,12,1000,0.97,-0.035,0.93,930.0
0.56,3,50,1000,1.38,0.099,1.48,1480.0
0.14,24,64,1000,0.89,0.082,0.97,970.0
0.2,58,89,1000,0.93,0.047,0.98,980.0
0.45,48,14,1000,1.14,-0.017,1.13,1130.0
0.33,22,39,1000,1.06,0.059,1.12,1120.0
0.97,34,48,1000,1.59,0.096,1.69,1690.0
0.99,4,27,1000,1.71,0.091,1.8,1800.0
0.59,8,32,1000,1.32,-0.077,1.24,1240.0
0.92,32,17,1000,1.55,0.103,1.65,1650.0
0.46,21,1,1000,1.17,-0.022,1.15,1150.0
0.86,21,2,1000,1.51,-0.056,1.45,1450.0
0.13,18,50,1000,0.89,0.045,0.94,940.0
0.98,41,39,1000,1.6,-0.04,1.56,1560.0
0.64,58,47,1000,1.3,0.044,1.35,1350.0
0.81,9,7,1000,1.5,-0.029,1.47,1470.0
0.84,8,12,1000,1.53,0.003,1.53,1530.0
0.23,46,70,1000,0.96,0.02,0.98,980.0
0.48,2,35,1000,1.36,0.024,1.38,1380.0
